Product,Count,Price
IkLgsFGbDp,123,72091
LFKnnRZNBM,122,59750
kZCLIUYQDV,119,40104
SAuKeUhEkh,119,83083
UnbrFERXUK,116,99906
KUiGAZTOSJ,116,40739
gORSYRbjsw,111,76960
bQqNVrQckr,110,34893
XgTgpwiUUz,109,664
xEGeUikAGb,107,58674
HnlWmdTpnM,106,50933
RNCyOxVZUt,105,40623
qSeYadFeCl,105,74251
mnbXTVYFwT,105,38719
gvHCwOXTyD,104,56071
dAfnYJCdLr,104,17649
JcjuhVVSEF,104,36958
COdEYNtgHZ,104,30778
QfEfzfggLb,102,21206
fzIBNFziyU,101,37874
plzfznYGCm,100,78651
YYEODoJDtI,99,5759
OwHeLNDvQm,98,93774
nYzxZLRkie,97,16405
qTBWmlnMGU,94,93069
lpYNWiifJt,93,32158
NxYFqSdONk,93,43410
HcxDdJTMoi,92,65816
xIKRFeGHph,92,1074
oQZBCSkdIJ,91,39473
MmUEuErJPC,91,19465
fjBogSIbcN,91,31171
HpfoIJmRfZ,90,31237
LxmrKFDRCI,89,87570
KTPcKWvvpG,89,4617
YkVgdlQJxD,88,12185
jYeFlPWAcA,88,33038
TLNdjEqLKD,88,41826
iTRJWrYciX,88,49698
tRCEgEbEXA,88,51880
XKiatdhdar,88,29556
kcsHEStuOL,88,94423
eupVEfIRMx,87,26823
krSZlEZhZJ,87,82812
ESKArixqiK,87,44792
cxfKBaRRHq,87,71549
PaGKLkjuuQ,87,35273
RWVtPFOlvD,87,377
HlNCdzpKNN,87,35600
QIYjxVohFd,86,42186
yUTEnlRKmd,86,83728
leKoybzFEq,86,44376
rOayuEcnFE,85,59404
WknyCWvCAG,85,26851
SUxZDlrMdF,85,28601
mCJrfGWhkA,85,63809
kezXZXCutx,85,26881
KpKiKlGTHz,84,88482
snlXCTPSLY,84,73818
qSOMSldLGQ,84,34140
RiSJxBWWZn,84,32203
WZneJcyZrz,83,75089
aeQGWMrBHb,83,30754
KbVcIGYFKh,82,37110
bCkMrNPoEl,82,71543
hyGIhVeCAB,81,17267
frOVyNZXAu,81,71264
sEnMJNyAdj,80,99320
QyIMrkkffR,80,34951
oLUBMaAidU,79,5294
NkmVCXMgYf,79,90718
YuuDuoEUOK,79,3959
NeVSeiHXiW,78,27792
zYIZXkVleK,78,36356
HaYKUVHJys,78,1614
jKmLfKosCj,78,40875
AjtDXQnqdP,78,53947
PVWEgtNvoB,77,98414
jYKtQRAIZX,76,90131
HiCRzHZhfa,76,44104
ewsOLYoGoz,76,73869
jNriNSlvWK,76,38853
MFzWMvYQZl,76,47376
fdBWheKtbY,76,15119
AHfHiUJxbi,76,99635
kwwgYrdomK,75,48265
OhcTAMKXKg,75,12875
TCHXJetRHo,74,47398
VTdoCbdwZP,74,76629
ICfksgeIHP,74,60704
wuABlawhEI,74,4314
FVBSxacugz,74,58108
CjGAnWgynD,74,71222
pPtiJtYtOu,74,44938
QYZnnkZkTZ,74,99716
cNJchjoycP,74,53059
UqclpuSoFx,74,64293
wVWxKJphps,74,85162
cTOplcWXok,74,9447
oZvvACaKEr,73,72543
